,dateRep,continentExp,cases,deaths
165,1/28/20,Méditerranée orientale,0,0
166,1/28/20,Other,0,0
167,1/28/20,Pacifique occidental,1758,25
168,1/29/20,Afrique,0,0
169,1/29/20,Amérique du Nord,1,0
170,1/29/20,Amérique latine,0,0
171,1/29/20,Asie du Sud-Est,0,0
172,1/29/20,Europe,4,0
173,1/29/20,Méditerranée orientale,0,0
174,1/29/20,Other,0,0
175,1/29/20,Pacifique occidental,1475,26
176,1/3/20,Afrique,0,0
177,1/3/20,Amérique du Nord,0,0
178,1/3/20,Amérique latine,0,0
179,1/3/20,Asie du Sud-Est,0,0
180,1/3/20,Europe,0,0
181,1/3/20,Méditerranée orientale,0,0
182,1/3/20,Other,0,0
183,1/3/20,Pacifique occidental,17,0
184,1/30/20,Afrique,0,0
185,1/30/20,Amérique du Nord,0,0
186,1/30/20,Amérique latine,0,0
187,1/30/20,Asie du Sud-Est,1,0
188,1/30/20,Europe,2,0
189,1/30/20,Méditerranée orientale,3,0
190,1/30/20,Other,0,0
191,1/30/20,Pacifique occidental,1750,38
192,1/31/20,Afrique,0,0
193,1/31/20,Amérique du Nord,1,0
194,1/31/20,Amérique latine,0,0
195,1/31/20,Asie du Sud-Est,0,0
196,1/31/20,Europe,5,0
197,1/31/20,Méditerranée orientale,0,0
198,1/31/20,Other,0,0
199,1/31/20,Pacifique occidental,1995,43
200,1/4/20,Afrique,0,0
201,1/4/20,Amérique du Nord,0,0
202,1/4/20,Amérique latine,0,0
203,1/4/20,Asie du Sud-Est,0,0
204,1/4/20,Europe,0,0
205,1/4/20,Méditerranée orientale,0,0
206,1/4/20,Other,0,0
207,1/4/20,Pacifique occidental,0,0
208,1/5/20,Afrique,0,0
209,1/5/20,Amérique du Nord,0,0
210,1/5/20,Amérique latine,0,0
211,1/5/20,Asie du Sud-Est,0,0
212,1/5/20,Europe,0,0
213,1/5/20,Méditerranée orientale,0,0
214,1/5/20,Other,0,0
215,1/5/20,Pacifique occidental,15,0
216,1/6/20,Afrique,0,0
217,1/6/20,Amérique du Nord,0,0
218,1/6/20,Amérique latine,0,0
219,1/6/20,Asie du Sud-Est,0,0
220,1/6/20,Europe,0,0
221,1/6/20,Méditerranée orientale,0,0
222,1/6/20,Other,0,0
223,1/6/20,Pacifique occidental,0,0
224,1/7/20,Afrique,0,0
225,1/7/20,Amérique du Nord,0,0
226,1/7/20,Amérique latine,0,0
227,1/7/20,Asie du Sud-Est,0,0
228,1/7/20,Europe,0,0
229,1/7/20,Méditerranée orientale,0,0
230,1/7/20,Other,0,0
231,1/7/20,Pacifique occidental,0,0
232,1/8/20,Afrique,0,0
233,1/8/20,Amérique du Nord,0,0
234,1/8/20,Amérique latine,0,0
235,1/8/20,Asie du Sud-Est,0,0
236,1/8/20,Europe,0,0
237,1/8/20,Méditerranée orientale,0,0
238,1/8/20,Other,0,0
239,1/8/20,Pacifique occidental,0,0
240,1/9/20,Afrique,0,0
241,1/9/20,Amérique du Nord,0,0
242,1/9/20,Amérique latine,0,0
243,1/9/20,Asie du Sud-Est,0,0
244,1/9/20,Europe,0,0
245,1/9/20,Méditerranée orientale,0,0
246,1/9/20,Other,0,0
247,1/9/20,Pacifique occidental,0,0
248,12/31/19,Afrique,0,0
249,12/31/19,Amérique du Nord,0,0
250,12/31/19,Amérique latine,0,0
251,12/31/19,Asie du Sud-Est,0,0
252,12/31/19,Europe,0,0
253,12/31/19,Méditerranée orientale,0,0
254,12/31/19,Other,0,0
255,12/31/19,Pacifique occidental,27,0
256,2/1/20,Afrique,0,0
257,2/1/20,Amérique du Nord,2,0
258,2/1/20,Amérique latine,0,0
259,2/1/20,Asie du Sud-Est,5,0
260,2/1/20,Europe,8,0
261,2/1/20,Méditerranée orientale,0,0
262,2/1/20,Other,0,0
263,2/1/20,Pacifique occidental,2107,46
264,2/10/20,Afrique,0,0
265,2/10/20,Amérique du Nord,0,0
266,2/10/20,Amérique latine,0,0
267,2/10/20,Asie du Sud-Est,0,0
268,2/10/20,Europe,5,0
269,2/10/20,Méditerranée orientale,0,0
270,2/10/20,Other,6,0
271,2/10/20,Pacifique occidental,2981,97
272,2/11/20,Afrique,0,0
273,2/11/20,Amérique du Nord,1,0
274,2/11/20,Amérique latine,0,0
275,2/11/20,Asie du Sud-Est,0,0
276,2/11/20,Europe,1,0
277,2/11/20,Méditerranée orientale,1,0
278,2/11/20,Other,65,0
279,2/11/20,Pacifique occidental,2494,108
280,2/12/20,Afrique,0,0
281,2/12/20,Amérique du Nord,0,0
282,2/12/20,Amérique latine,0,0
283,2/12/20,Asie du Sud-Est,1,0
284,2/12/20,Europe,2,0
285,2/12/20,Méditerranée orientale,0,0
286,2/12/20,Other,39,0
287,2/12/20,Pacifique occidental,2030,97
288,2/13/20,Afrique,0,0
289,2/13/20,Amérique du Nord,1,0
290,2/13/20,Amérique latine,0,0
291,2/13/20,Asie du Sud-Est,0,0
292,2/13/20,Europe,1,0
293,2/13/20,Méditerranée orientale,0,0
294,2/13/20,Other,0,0
295,2/13/20,Pacifique occidental,15149,255
296,2/14/20,Afrique,0,0
297,2/14/20,Amérique du Nord,1,0
298,2/14/20,Amérique latine,0,0
299,2/14/20,Asie du Sud-Est,0,0
300,2/14/20,Europe,0,0
301,2/14/20,Méditerranée orientale,0,0
302,2/14/20,Other,47,0
303,2/14/20,Pacifique occidental,4167,13
304,2/15/20,Afrique,0,0
305,2/15/20,Amérique du Nord,1,0
306,2/15/20,Amérique latine,0,0
307,2/15/20,Asie du Sud-Est,1,0
308,2/15/20,Europe,0,1
309,2/15/20,Méditerranée orientale,1,0
310,2/15/20,Other,0,0
311,2/15/20,Pacifique occidental,2557,143
312,2/16/20,Afrique,0,0
